"TIP GOSPODINJSTVA";"LETO";"STANOVANJSKE RAZMERE";Stanovanjske razmere
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2017";"Pretemno stanovanje";4
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2017";"Težave s hrupom";12
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2017";"Onesnaženost okolja";17
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2017";"Prisotnost kriminala";8
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2018";"Slabo stanje stanovanja";21
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2018";"Ni primernega ogrevanja";2
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2018";"Pretemno stanovanje";4
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2018";"Težave s hrupom";13
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2018";"Onesnaženost okolja";17
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2018";"Prisotnost kriminala";8
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2019";"Slabo stanje stanovanja";18
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2019";"Ni primernega ogrevanja";1
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2019";"Pretemno stanovanje";4
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2019";"Težave s hrupom";14
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2019";"Onesnaženost okolja";16
"Dva odrasla z vsaj enim vzdrževanim otrokom";"2019";"Prisotnost kriminala";8
"Druga gospodinjstva z vzdrževanimi otroki";"2010";"Slabo stanje stanovanja";36
"Druga gospodinjstva z vzdrževanimi otroki";"2010";"Ni primernega ogrevanja";4
"Druga gospodinjstva z vzdrževanimi otroki";"2010";"Pretemno stanovanje";9
"Druga gospodinjstva z vzdrževanimi otroki";"2010";"Težave s hrupom";15
"Druga gospodinjstva z vzdrževanimi otroki";"2010";"Onesnaženost okolja";19
"Druga gospodinjstva z vzdrževanimi otroki";"2010";"Prisotnost kriminala";10
"Druga gospodinjstva z vzdrževanimi otroki";"2011";"Slabo stanje stanovanja";38
"Druga gospodinjstva z vzdrževanimi otroki";"2011";"Ni primernega ogrevanja";6
"Druga gospodinjstva z vzdrževanimi otroki";"2011";"Pretemno stanovanje";10
"Druga gospodinjstva z vzdrževanimi otroki";"2011";"Težave s hrupom";16
"Druga gospodinjstva z vzdrževanimi otroki";"2011";"Onesnaženost okolja";17
"Druga gospodinjstva z vzdrževanimi otroki";"2011";"Prisotnost kriminala";7
"Druga gospodinjstva z vzdrževanimi otroki";"2012";"Slabo stanje stanovanja";35
"Druga gospodinjstva z vzdrževanimi otroki";"2012";"Ni primernega ogrevanja";6
"Druga gospodinjstva z vzdrževanimi otroki";"2012";"Pretemno stanovanje";8
"Druga gospodinjstva z vzdrževanimi otroki";"2012";"Težave s hrupom";12
"Druga gospodinjstva z vzdrževanimi otroki";"2012";"Onesnaženost okolja";16
"Druga gospodinjstva z vzdrževanimi otroki";"2012";"Prisotnost kriminala";8
"Druga gospodinjstva z vzdrževanimi otroki";"2013";"Slabo stanje stanovanja";30
"Druga gospodinjstva z vzdrževanimi otroki";"2013";"Ni primernega ogrevanja";4
"Druga gospodinjstva z vzdrževanimi otroki";"2013";"Pretemno stanovanje";7
"Druga gospodinjstva z vzdrževanimi otroki";"2013";"Težave s hrupom";12
"Druga gospodinjstva z vzdrževanimi otroki";"2013";"Onesnaženost okolja";13
"Druga gospodinjstva z vzdrževanimi otroki";"2013";"Prisotnost kriminala";8
"Druga gospodinjstva z vzdrževanimi otroki";"2014";"Slabo stanje stanovanja";32
"Druga gospodinjstva z vzdrževanimi otroki";"2014";"Ni primernega ogrevanja";5
"Druga gospodinjstva z vzdrževanimi otroki";"2014";"Pretemno stanovanje";5
"Druga gospodinjstva z vzdrževanimi otroki";"2014";"Težave s hrupom";12
"Druga gospodinjstva z vzdrževanimi otroki";"2014";"Onesnaženost okolja";14
"Druga gospodinjstva z vzdrževanimi otroki";"2014";"Prisotnost kriminala";9
"Druga gospodinjstva z vzdrževanimi otroki";"2015";"Slabo stanje stanovanja";29
"Druga gospodinjstva z vzdrževanimi otroki";"2015";"Ni primernega ogrevanja";4
"Druga gospodinjstva z vzdrževanimi otroki";"2015";"Pretemno stanovanje";6
"Druga gospodinjstva z vzdrževanimi otroki";"2015";"Težave s hrupom";11
"Druga gospodinjstva z vzdrževanimi otroki";"2015";"Onesnaženost okolja";15
"Druga gospodinjstva z vzdrževanimi otroki";"2015";"Prisotnost kriminala";6
"Druga gospodinjstva z vzdrževanimi otroki";"2016";"Slabo stanje stanovanja";28
"Druga gospodinjstva z vzdrževanimi otroki";"2016";"Ni primernega ogrevanja";3
"Druga gospodinjstva z vzdrževanimi otroki";"2016";"Pretemno stanovanje";4
"Druga gospodinjstva z vzdrževanimi otroki";"2016";"Težave s hrupom";10
"Druga gospodinjstva z vzdrževanimi otroki";"2016";"Onesnaženost okolja";16
"Druga gospodinjstva z vzdrževanimi otroki";"2016";"Prisotnost kriminala";7
"Druga gospodinjstva z vzdrževanimi otroki";"2017";"Slabo stanje stanovanja";26
"Druga gospodinjstva z vzdrževanimi otroki";"2017";"Ni primernega ogrevanja";2
"Druga gospodinjstva z vzdrževanimi otroki";"2017";"Pretemno stanovanje";3
"Druga gospodinjstva z vzdrževanimi otroki";"2017";"Težave s hrupom";11
"Druga gospodinjstva z vzdrževanimi otroki";"2017";"Onesnaženost okolja";16
"Druga gospodinjstva z vzdrževanimi otroki";"2017";"Prisotnost kriminala";6
"Druga gospodinjstva z vzdrževanimi otroki";"2018";"Slabo stanje stanovanja";25
"Druga gospodinjstva z vzdrževanimi otroki";"2018";"Ni primernega ogrevanja";2
"Druga gospodinjstva z vzdrževanimi otroki";"2018";"Pretemno stanovanje";7
"Druga gospodinjstva z vzdrževanimi otroki";"2018";"Težave s hrupom";12
"Druga gospodinjstva z vzdrževanimi otroki";"2018";"Onesnaženost okolja";13
"Druga gospodinjstva z vzdrževanimi otroki";"2018";"Prisotnost kriminala";5
"Druga gospodinjstva z vzdrževanimi otroki";"2019";"Slabo stanje stanovanja";22
"Druga gospodinjstva z vzdrževanimi otroki";"2019";"Ni primernega ogrevanja";2
"Druga gospodinjstva z vzdrževanimi otroki";"2019";"Pretemno stanovanje";3
"Druga gospodinjstva z vzdrževanimi otroki";"2019";"Težave s hrupom";10
"Druga gospodinjstva z vzdrževanimi otroki";"2019";"Onesnaženost okolja";12
"Druga gospodinjstva z vzdrževanimi otroki";"2019";"Prisotnost kriminala";7
